entity,code,year,20_24_years_old,10_14_years_old,all_ages,70_years_old,30_34_years_old,15_19_years_old,25_29_years_old,50_69_years_old,age_standardized,15_49_years_old
Costa Rica,CRI,2017,3.19182266372,1.09027015313999,3.10171110054999,4.77693714858,3.44354079763,2.48512846284,3.34248067667,4.67462657055,2.90478753344,3.36630704914999
Cote d'Ivoire,CIV,2017,3.01947177,1.06556239399999,2.49084218700999,7.3586946241,3.71399194896,2.39287284193,3.38283440234,6.09512690897,3.33798890428,3.48506535852
Croatia,HRV,2017,2.86694598446,1.01562746004,3.64584589573,6.1721216478,2.83853584654,2.30331136927,2.82232885022,4.85520987959,2.77984173234,3.02653705896
Cuba,CUB,2017,3.15988096887,1.29836856409,4.09462027628,6.08224464733,3.4962010242,2.76215057552,3.29553207645,5.86992215421,3.31913091377,3.76082383516999
Cyprus,CYP,2017,3.83517536118,1.77822334986,3.80158573149,4.42882486629,4.19443410535,3.28996504888,4.00210149272,4.42066218568,3.32811079018,4.17880741365
Czech Republic,CZE,2017,2.84234005754,0.984269857497,3.38806571959,5.35570382326,2.90600361428,2.25547250944,2.8616425152,4.55694583619,2.67538746628,3.05926117838
Democratic Republic of Congo,COD,2017,4.62650933586,1.46560485846999,3.02983855835,7.25296529125,4.74649466352,3.6235174555,4.64790660638,6.3048510347,3.95687176402,4.62996953681
Denmark,DNK,2017,3.56684737419,1.41219235522,3.80430899771999,4.45144887886,4.1086727445,2.78884557404,3.81953005293,4.64798584922,3.29188532482,4.08254756063
Djibouti,DJI,2017,3.33405941841,1.61328865124,3.08408319655,7.75231684704,3.76857174826,3.23982589258,3.51854005608,6.27882063231,3.60901012937,3.8339575417
Dominica,DMA,2017,2.78477032324,1.24458779158999,2.91743730407,4.31038878112,3.00609761324,2.51590862877,2.88179995046,4.25142034271,2.62964873616,3.05646017819
Dominican Republic,DOM,2017,3.06544193323,1.37382159129,2.98126999247999,5.26379068786,3.23617109293,2.81351111247,3.11915040097999,4.9959604867,2.97852252642,3.34388620428
East Asia,,2017,2.47705322337,0.870466020843,4.14290059782,7.77182239211,3.05931175885,1.9631759324,2.75233950411,6.89959690861,3.30201665068999,3.36387403849999
Eastern Europe,,2017,3.7969691811,1.02731397436,4.69446488465999,8.17767324888,4.41543086163,2.67184024738,4.18623158962999,6.52735796934,3.80243932621,4.31172559344
Eastern Sub-Saharan Africa,,2017,3.59775607369,1.54161776966,2.77246992986,8.43683348661,3.992271742,3.29227684353,3.76883116295,6.90039691771,3.82430490123999,3.94420983243
Ecuador,ECU,2017,3.51368532408,1.23654160164,2.94266240329,5.15430484908,3.26424672523,2.89471539086,3.35983244855999,4.90069864561,2.97711725822,3.38988005555
Egypt,EGY,2017,3.38104437661,1.458409707,2.97079006004,4.60181349237,4.05751393142,2.87598391625,3.72595985583,5.07369389544,3.23818185168,3.87423218863
El Salvador,SLV,2017,3.68679905386,1.1271143125,3.04740566091,4.81306403202,3.69671595362999,2.77480920042,3.70206512463,4.72063174896,3.02588721657,3.58388943269
England,,2017,4.70906571584,1.76082173373999,4.61805983301,5.13751203094,5.40906939964,3.72209368061,5.0944439299,5.42529135606,4.11939204713,5.23546676298
Equatorial Guinea,GNQ,2017,4.80154060684,1.47661097364,3.20880770853999,7.39810939138999,4.99429060853,3.68528272316,4.84037461207,6.61486094250999,4.16708998551,4.78563259105
Eritrea,ERI,2017,3.49773980584,1.58158809591,2.9135864929,8.72921965981,3.92379528912,3.30830126604,3.65881914526,7.01466195027,3.86737670292999,3.9249895729
Estonia,EST,2017,3.52902029601,1.35515718403,5.02522253759,9.0052550344,3.87955354497,2.92615863103,3.69642202083,6.91466998882999,3.84885421123,4.04909789999
Ethiopia,ETH,2017,3.65874558944,1.37953439347,2.72809961665,8.32051699242999,4.04587665471,3.13658925448,3.83033340043,6.94998660620999,3.8162659691,3.93275581765999
Fiji,FJI,2017,3.34893242157,1.0997884714,3.0886132747,6.19375658864,3.29626787286,2.67565746152,3.26017848295,5.8126615716,3.17189809853,3.46417483148
Finland,FIN,2017,6.67728167916999,2.10898624488,5.33686285331,5.65054167596,6.13704272604,4.80093583278,6.30235172973,5.92345766659,4.79273560626,6.2252983699
France,FRA,2017,4.57857841926999,1.95448827819,4.79285411628,5.5410971746,5.24243957281,3.67160588555,4.82206438783,5.63958676789,4.25380726277,5.32274979974999
Gabon,GAB,2017,4.72134120076,1.5069682514,3.63842973446,7.35830199326,4.80702100218,3.69771299384999,4.70518864609,6.38188119714999,4.04902903406,4.78005961035
Gambia,GMB,2017,3.78365812265999,1.55310894097999,3.09649781915,9.30445527208,4.57258395785,3.28660694238,4.16972140405,7.32669562571,4.15851745775999,4.30114909338
Georgia,GEO,2017,2.8252658319,1.05941490501,3.36285834258,6.35776432959,2.95455884707,2.34378774034,2.90377138128,4.85231783187,2.79737866325,3.01775564923
Germany,DEU,2017,4.55944611361,1.81621382243,4.63108567563,5.22634261914,4.91433083867,3.60398798297,4.71638873596,5.23769498363,3.95986609184,4.90752519001
Ghana,GHA,2017,3.11984506477,1.19475457821,2.77549284674999,7.35603948601,3.78504098597,2.57224954709,3.45605836875,6.07248842343,3.39664668903,3.57957153821
Greece,GRC,2017,4.84818512039999,2.36188329024,4.83658953528,5.37238277456999,5.26666337153,4.18667998283,5.05848753014,5.52225823139,4.18586369919,5.21656633594
Greenland,GRL,2017,10.3813452055999,3.16434987664,6.57790893241,4.10264178052,8.79051191422,8.55064957408,9.44128428463,6.26771442372,6.23363488551,8.96135269983
Grenada,GRD,2017,3.06830585974,1.26377426071,3.03558044281,4.43189400456,3.16682378013,2.69622256117,3.0893380898,4.46098615025,2.77006562469,3.25264024583
Guam,GUM,2017,4.33611133980999,1.19107869562,3.65151307318,6.25947441189999,3.65432750318999,3.23111699086,3.89561949397,6.009375499,3.49285552428,3.98489508845
Guatemala,GTM,2017,3.32000986023,1.21171523269,2.86699610113,5.67293651116,3.62315437605,2.72319450043,3.45394689825,5.49025339672,3.21602516868,3.53490146541
Guinea,GIN,2017,3.29503329713,1.18011974161,2.55903926285,7.55334764423,4.05698484875,2.65480382353,3.67704710286,6.40422866517,3.56093291107,3.74813282658
Guinea-Bissau,GNB,2017,3.29022669375,1.18862161691,2.61625696132,7.8650854415,4.14732547051,2.65806297701999,3.72251771635,6.60279402206,3.66543039362,3.81243926195
Guyana,GUY,2017,5.30685845758,1.53205913282,4.13408260924,6.1230579989,5.08675239423,4.01310303,5.13755702034,6.31085488159,4.14172362073,5.12429905358
Haiti,HTI,2017,3.32041750072,1.23583981684,2.63878843322,4.78627048509,3.50072862779999,2.79072595218,3.37617456724,4.88165920483,2.95778209292,3.48559442548999
High SDI,,2017,5.08184619868,1.99509794794,4.41932022654,4.56043454955,4.8631294879,4.40140324746,4.88168976769,5.00187369489,3.94200710409,5.04461713172
High-income,,2017,5.45962518692999,2.1087265658,4.51401176476,4.44305399486,5.26704581779,4.66474846674,5.29287690844,4.95169591821,4.11648589026,5.35751338341
High-income Asia Pacific,,2017,4.91151471107,1.21732811772,3.7435641582,3.95182499272999,4.39999634211,3.42048187938,4.63718261379999,3.95947977056,3.2709899415,4.29418471028
High-middle SDI,,2017,3.33616890925999,1.33422706727,4.17413692573,7.0817866813,3.83553024468999,2.81927461997,3.53680996993,6.3775786662,3.56849825679,3.94058567234
Honduras,HND,2017,2.69887713421,0.993081519923,2.37739881775,5.33200918559,3.05171542721,2.19633528217,2.89637481019999,4.92268051217999,2.75230112491,2.92569321896
Hungary,HUN,2017,2.60765572954,0.928825946434999,3.6609828828,6.05250025527,2.75627106197,2.09233247922,2.63645599072,5.14427787073,2.76524217857,3.04078678708
Iceland,ISL,2017,3.84719098899,1.53734472169,3.72551951219,4.55259194017,4.30043316603999,3.04935468683,4.07174893901,4.60999245318,3.36166521167999,4.16550207741
