entity,code,year,20_24_years_old,10_14_years_old,all_ages,70_years_old,30_34_years_old,15_19_years_old,25_29_years_old,50_69_years_old,age_standardized,15_49_years_old
Puerto Rico,PRI,2017,2.75995651359999,1.16924635698,3.30623869465,4.3508759725,3.01975563373,2.42303444582,2.86240025011,4.62643771533,2.72610806519,3.1442202805
Qatar,QAT,2017,3.54979389007999,1.76406866699999,4.0037342714,4.77078848959,4.45700795648,3.27121114379,4.02079090817,4.96386391053,3.48232719928,4.45250587493
Romania,ROU,2017,2.47490356685,0.900162523575999,2.99940975147,4.79789166938,2.52261215324,2.01190029195,2.47560355433,4.16742139273,2.35917358572,2.69135221274
Russia,RUS,2017,3.78671855251,0.964116813411,4.51886652641,7.82635043081,4.39716249728,2.59161959697,4.18332026201,6.29583234994999,3.70792495441,4.25083440863
Rwanda,RWA,2017,3.55182351887,1.75489218598,2.98504378729,8.6163823274,3.95887730316,3.52507883120999,3.72645704857,6.86751071193,3.86944962793,3.98129653221
Saint Lucia,LCA,2017,3.19038668132,1.28812553858,3.14942382149,4.56374055707,3.19843214983,2.76987772721,3.15205181543999,4.52894429353,2.83926837709,3.3592122829
Saint Vincent and the Grenadines,VCT,2017,3.21955414491,1.28675468909,3.09698694914,4.60973888453,3.25410255105,2.80041632931,3.19647485678,4.62050281422,2.85908939679,3.3799155303
Samoa,WSM,2017,3.19151402003,1.05904094561,2.59923494971,6.00925012523,3.12369658683,2.57198065445,3.08297010727,5.59281211373,3.03893806425,3.25631584976
Sao Tome and Principe,STP,2017,3.01348035864,1.20713740808,2.57088516319,6.42360001288,3.60443707449,2.56052469073,3.31229312204,5.3171794573,3.13631373424,3.42028913132
Saudi Arabia,SAU,2017,3.78674400638,1.67656310345,3.79370968894,4.72690880908,4.54033199897,3.29470297861999,4.18654117077,5.26620460625,3.53684672822,4.4525306613
Scotland,,2017,4.71582749776999,1.93008626193999,4.69018566533,4.75797598066999,5.87632445781,3.67890500004,5.41663145041,5.22894042007,4.16106667404,5.4443512348
Senegal,SEN,2017,2.97915778107,1.0903965832,2.53013608125,7.49289910616,3.69107979774,2.40072520122,3.34443253555,6.255920979,3.37049720751,3.43476613847
Serbia,SRB,2017,2.53120805968,0.890412542839,3.24302825273,5.7890287143,2.76290986806,1.99757623364999,2.65949539069,4.59228247011,2.57006816225999,2.80992982259
Seychelles,SYC,2017,2.57724967523,1.14560849354,3.15882663489,5.75537403649,2.75278815485,2.40123404065,2.59520104316,5.43780707949,2.88651359676,3.06921823714
Sierra Leone,SLE,2017,3.30886354779999,1.19262300451,2.67792001379,7.78914785754,4.05313415916,2.67405701273999,3.67374470478,6.46053366424,3.58150134848,3.75578198879
Singapore,SGP,2017,4.94896512274,1.7846213348,3.8652929793,4.7443995555,4.06342038743,4.09670325403,4.45755241958,4.24355929923999,3.43827107312999,4.27099999244
Slovakia,SVK,2017,2.46392298929,0.875954788719,2.98891553184,5.00493402987,2.58592065346999,1.96971117850999,2.52151344394,4.16791422406,2.40199854722,2.6826792539
Slovenia,SVN,2017,2.93029836368,1.00327354882,3.73314257091,6.12210511915999,3.00079554508,2.29952275339,2.96610299346,5.0174706055,2.86327766444,3.15846359653
Solomon Islands,SLB,2017,3.35145037891999,1.03951301947,2.51740820613,6.08375724372,3.34806843693,2.61241519513,3.28219651013,5.84027360179,3.15306797974,3.44060449962
Somalia,SOM,2017,3.47776796935,1.57392242095,2.64467289979,8.17052065131,3.94038356903999,3.27966997187999,3.67158115213,6.97397288928,3.78474821766,3.91292136218
South Africa,ZAF,2017,4.38609299936,1.18353303717,3.69185180851,7.31216404265,4.32636313748,3.20788201955,4.3166999896,5.99659596913,3.74587085056,4.35115318407
South Asia,,2017,3.35962928134,0.935026790428999,3.34323102957,7.78915298835,3.91404110875,2.42601584248,3.60669296926,6.63224330858,3.56644810165,3.83895335861
South Korea,KOR,2017,4.35266222099,1.33918118955,3.69397197352999,4.53309045698,4.17111302675,3.28347112443,4.26987217247,4.03461394611999,3.1656839582,4.04419938928
South Sudan,SSD,2017,3.44018099358,1.55966227967,2.58887843753,7.79151879391,3.96033762884,3.25081383764999,3.66397896135,6.5717066198,3.69914742873,3.91138519978999
Southeast Asia,,2017,2.44973070508,1.02079000728,2.86215158374,5.75991905704,2.78812650194,2.22268917709,2.56605419335,5.44160244422,2.80723941635,2.95630914906
"Southeast Asia, East Asia, and Oceania",,2017,2.47436232204,0.93798285378,3.73952488543,7.36392953956999,2.98059578698,2.07704504037,2.69983799688,6.56154773433,3.18087347563,3.23659682391
Southern Latin America,,2017,5.43656485901,1.97423254359,3.98167860805,4.26219187812999,4.57934419871,4.58245355493,4.91103650049,4.69574422757,3.77220599624,4.84097430155
Southern Sub-Saharan Africa,,2017,4.10858589161,1.19573925365,3.45668457264,7.41748167373,4.20938017089,3.06439816071999,4.13823596166,6.05934910134,3.69272688399,4.19449950514
Spain,ESP,2017,3.967729747,1.86035456851,4.13446487714,4.83300687515,4.37144990776,3.35012258566,4.15183343666,4.72424987082,3.53835929062,4.44917940100999
Sri Lanka,LKA,2017,3.9592752912,1.10468388966,3.73401556427,6.22967811567,3.61988146114,2.95748607392,3.68681573882,6.03312747123999,3.44332981583,3.9149161358
Sub-Saharan Africa,,2017,3.67198372112,1.40374692079,2.81146982049,8.02234655855,4.16458990662,3.11526799431,3.90890705766999,6.63632041283999,3.7761317399,4.01747324332
Sudan,SDN,2017,4.15786759063,1.55302067981,3.09613542787,4.82393918309,5.19862153507,3.29549261295,4.70284825032,5.56177992186,3.78145064600999,4.67383295983999
Suriname,SUR,2017,4.97747079677,1.55306377986,4.12912249654,6.07459823298,4.71961067726,3.90410899603,4.78671769595,6.14382679611,3.9735832253,4.87874257984
Swaziland,SWZ,2017,4.35772722328,1.3819748389,3.38587052549,7.96729492426,4.58002496873,3.39428118187,4.37935748067999,6.7659537129,4.06765436089,4.51862101024
Sweden,SWE,2017,5.75106349799,1.8257813404,5.03312383738,5.53757273340999,5.91148733071,4.18977895242,5.83414609131,5.90262545386,4.48791099421,5.79049188931
Switzerland,CHE,2017,4.31131103602,1.58025901545,4.31942520523,4.94044738243999,4.63175817103999,3.27222824120999,4.45882135659,5.03981951065,3.70805973731,4.639778475
Syria,SYR,2017,3.86227452451,1.68638928361,3.35418776759999,4.77632217671,4.69361554139,3.33720347205999,4.25820881594,5.31576296174,3.58207279899,4.41426529886
Taiwan,TWN,2017,2.15615306425,0.902622673426,3.95728789766,6.27196864386,2.98853776729,1.77847554117,2.55416838987,6.05281608192,3.01654274716,3.17304236029
Tajikistan,TJK,2017,2.59332326379,0.995024121304,2.1910213243,5.63441042258,2.79724600763999,2.17262827414,2.71793884481,4.37604221308,2.56396073374999,2.74152410084
Tanzania,TZA,2017,3.43302010874,1.58720389943,2.71971994306,8.16568445449,3.79089254877999,3.28133574931,3.58506235565,6.62220473979,3.68574813954,3.81251043147
Thailand,THA,2017,2.60767731706,1.13372091234999,3.81100602004999,6.18760141353999,3.0036706527,2.39473482832,2.72951194098999,6.01642507456,3.08505700381,3.36600839799
Timor,TLS,2017,3.04065114739,1.21992674544,2.5862303576,6.26768715543,3.16679515288,2.73243775189,3.0273616239,6.0119339796,3.13908658746999,3.27676865585
Togo,TGO,2017,3.29744813154,1.17949383285,2.81122769345,8.16416032949,4.11080106422999,2.64033250024,3.71076602117,6.64268019931,3.65672466831,3.85743769193
Tonga,TON,2017,2.90981673599,1.06333396466,2.64314063231999,5.79314224298,2.92158211533,2.44594271927,2.84914676722,5.45361135245,2.91896953129999,3.08487988555
Trinidad and Tobago,TTO,2017,3.98352167484,1.40784612408,3.70489854219,5.01547265639,3.84010903622,3.29001762242999,3.85275245288,5.07270833452,3.32993810661,4.01359246871
Tropical Latin America,,2017,3.42321286363,2.08629839462,3.50809378691,5.34855577652,3.62414757014,3.11003334598,3.52297239636,5.22676370364,3.28751510608,3.70397127404999
Tunisia,TUN,2017,3.98850740614,1.74516755786,4.20298352831,5.8617005142,4.84265260914,3.42807555577999,4.45565867063,6.10224213377,3.91518851805,4.73378454286
Turkey,TUR,2017,3.8075090043,1.82009383374,3.99314432011,5.04804263348,4.81228935915,3.42940875665,4.36307883844,5.50497166572,3.71865782785,4.58984079946
Turkmenistan,TKM,2017,3.09527085585,1.07390700489,2.69343845359,6.25245046922,2.97873174884,2.48068801681,3.02460958859,4.66557808442,2.82308579805999,3.05302149877
Uganda,UGA,2017,4.53688120864,2.15382014576,3.3491530636,11.0828609203,5.0100011287,4.44876662503,4.70677899803,8.84845140733999,4.91802815738,5.00371144791
Ukraine,UKR,2017,3.93846880988,1.18065635618999,5.18093839151,9.04523401101,4.54717771944,2.91595360096,4.30406340048,7.14128086592,4.07191539327,4.53886171534999
United Arab Emirates,ARE,2017,3.13462115383,1.36580923849,3.47897237697,4.06172901671,3.62262637718999,2.69445770929,3.28940282568,4.245110159,2.87742612715999,3.80713813379999
United Kingdom,GBR,2017,4.71898966628,1.79822452501,4.61743206443,5.08444743842,5.44884240066,3.73214735974,5.12642091786,5.38817253828,4.11952399117999,5.25241099119
United States,USA,2017,6.66745795096,2.69886077692,5.08941531334,3.81574756982999,6.20145052528999,6.26654374386,6.26679141376999,5.32507296666,4.83561040879,6.54394155069
United States Virgin Islands,VIR,2017,3.18556003556,1.33382980646,3.45384118571,4.80249091421,3.25743090961,2.81041222383,3.20173384874,4.70651900899,2.92518197398,3.42763486319999
Uruguay,URY,2017,5.06889502202999,1.57392536278,3.89979612848,4.24613978821,4.46237197491,3.89668473737,4.6680907294,4.68801369051,3.61757373192,4.62759123579
Uzbekistan,UZB,2017,3.21376784715,1.06067003212,2.71916874742,6.25869385203999,3.12852428037999,2.52978261079,3.16286643583,4.78053563063,2.88692362908,3.1700708255
Vanuatu,VUT,2017,3.36399189767,1.04832276507,2.56949524083,5.9867682804,3.29834546851,2.64082262076,3.26411032393,5.79644984561,3.12269497442,3.40771043314
Venezuela,VEN,2017,3.10379528445,1.04216116411,2.87173769969999,4.97886808367,3.27947589855,2.42023417977,3.21262827952999,4.68191323132,2.8145838578,3.23395177065
Vietnam,VNM,2017,2.44613518534999,1.05321844983,3.03119721783,5.92487218789,2.86314290836,2.24364941684,2.61843934243,5.62173322498,2.87945006517,3.01257696355
Wales,,2017,4.82006817356,2.05448002606,4.54635697379,4.83539374674,5.39993621762,3.89018094798,5.12335439548,5.16784114497,4.06928894939,5.21217928762
Western Europe,,2017,4.50309568998,1.87034334812999,4.50625520042,5.14385745825,4.96142696903,3.61941621664,4.72516198509,5.20123182322,3.92440370039,4.93157775641
Western Sub-Saharan Africa,,2017,3.37466866103,1.28487206062,2.65989570396,8.0532438409,4.11810549626,2.80406612612,3.75050746025,6.66115301539,3.69965439105,3.85049368886
World,OWID_WRL,2017,3.46585187289,1.24176512164,3.58850702054,6.23559787237,3.87959325252,2.8024042326,3.63219192603,6.02113304631,3.44108733973,3.91681272534
Yemen,YEM,2017,4.38785280643,1.61789848451,3.21538780859,5.20856497317,5.56456413539999,3.44666182185,5.03273740525,6.0341071669,4.01234641607,4.999408139
Zambia,ZMB,2017,3.32144935785,1.41952615465,2.58957962744,7.91172103028,3.82222599653,3.01944529959,3.54576691285,6.67302583251,3.64181116286,3.73288388541999
Zimbabwe,ZWE,2017,2.91006951985,1.07311818292,2.41574609913999,7.50311855725,3.32379627002,2.39304879065,3.08654304395,5.79047250831,3.19278911933999,3.23377711765
